Date,UUP
2008-03-31,19.272195482868003
2008-04-01,19.48888213025306
2008-04-02,19.4481194580776
2008-04-03,19.304377673880225
2008-04-04,19.29150485058983
2008-04-07,19.37088305248325
2008-04-08,19.349429306011828
2008-04-09,19.31724884377881
2008-04-10,19.270050734850845
2008-04-11,19.287213848831243
2008-04-14,19.130599195434083
2008-04-15,19.295795996457798
2008-04-16,19.149907722875273
2008-04-17,19.141325275629377
2008-04-18,19.379466570062707
2008-04-21,19.274339728309236
2008-04-22,19.137034059109855
2008-04-23,19.23357808254217
2008-04-24,19.471716266275447
2008-04-25,19.51033281320093
2008-04-28,19.503897208605178
2008-04-29,19.540372848510742
2008-04-30,19.493173360460144
2008-05-01,19.585425033824137
2008-05-02,19.669094494897326
2008-05-05,19.61760621722325
2008-05-06,19.525353087846476
2008-05-07,19.647642589000142
2008-05-08,19.63691571478845
2008-05-09,19.56397048790466
2008-05-12,19.56397125630925
2008-05-13,19.52964520645213
2008-05-14,19.58971477025846
2008-05-15,19.568261533922776
2008-05-16,19.43095617531257
2008-05-19,19.40949882195399
2008-05-20,19.32368343568136
2008-05-21,19.19496095871544
2008-05-22,19.197105695443426
2008-05-23,19.169214814687304
2008-05-27,19.261467755030665
2008-05-28,19.385903993128554
2008-05-29,19.471721453070785
2008-05-30,19.50818776609699
2008-06-02,19.480298007196645
2008-06-03,19.551098954733362
2008-06-04,19.594007502757204
2008-06-05,19.563971066805866
2008-06-06,19.35586571010254
2008-06-09,19.355864403501243
2008-06-10,19.615458903482896
2008-06-11,19.581135298356593
2008-06-12,19.688405167913952
2008-06-13,19.75920351345124
2008-06-16,19.660513844876164
2008-06-17,19.611167442484415
2008-06-18,19.58113360868667
2008-06-19,19.604731482555316
2008-06-20,19.51033632549929
2008-06-23,19.58756997825621
2008-06-24,19.51677348954195
2008-06-25,19.486734051565286
2008-06-26,19.306522424293036
2008-06-27,19.267903817059906
2008-06-30,19.280776368118808
2008-07-01,19.29364811976644
2008-07-02,19.194959797300097
2008-07-03,19.373029920702916
2008-07-07,19.392340363639686
2008-07-08,19.388048655786967
2008-07-09,19.40950214510768
2008-07-10,19.291502408105334
2008-07-11,19.162778854370117
2008-07-14,19.203542734906243
2008-07-15,19.044782461582805
2008-07-16,19.13059763662069
2008-07-17,19.22714269914686
2008-07-18,19.231433203264306
2008-07-21,19.194961127917303
2008-07-22,19.179944009715918
2008-07-23,19.355866830569553
2008-07-24,19.37946736560355
2008-07-25,19.377319913944874
2008-07-28,19.36015617924754
2008-07-29,19.44383092221404
2008-07-30,19.555388233773474
2008-07-31,19.45884473978048
2008-08-01,19.561825675429468
2008-08-04,19.55324441140229
2008-08-05,19.686259455999583
2008-08-06,19.761349867517605
2008-08-07,19.806400436565248
2008-08-08,20.267664387898126
2008-08-11,20.30413818359375
2008-08-12,20.27195502580803
2008-08-13,20.233338035287254
2008-08-14,20.338462641441392
2008-08-15,20.50365954808243
2008-08-18,20.47791599784844
2008-08-19,20.439296233933266
2008-08-20,20.445733402852195
2008-08-21,20.233337800105186
2008-08-22,20.364208863893865
2008-08-25,20.374932593325788
2008-08-26,20.514385589582304
2008-08-27,20.45646059844517
2008-08-28,20.44787890360781
2008-08-29,20.49936797132745
2008-09-02,20.739654851567952
2008-09-03,20.748235691275177
2008-09-04,20.80401651181734
2008-09-05,20.900559482001377
2008-09-08,21.070046812232633
2008-09-09,21.076482108198768
2008-09-10,21.138701287751154
2008-09-11,21.284587958739046
2008-09-12,20.962777286355372
2008-09-15,20.71820155065347
2008-09-16,20.823325810871673
2008-09-17,20.731072630014342
2008-09-18,20.50151520563992
2008-09-19,20.473624507489166
2008-09-22,20.0638487661511
2008-09-23,20.065995839999808
2008-09-24,20.153960871791764
2008-09-25,20.19901078359204
2008-09-26,20.229046356535882
2008-09-29,20.379225884631566
2008-09-30,20.79543390650356
2008-10-01,21.13011997511744
2008-10-02,21.458362152336647
2008-10-03,21.329641831338872
2008-10-06,21.51414613989395
2008-10-07,21.344660224522684
2008-10-08,21.310329790112032
2008-10-09,21.34036830562977
2008-10-10,21.5184379968446
2008-10-13,21.38542387613533
2008-10-14,21.378986266440762
2008-10-15,21.582797224851603
2008-10-16,21.934646582613468
2008-10-17,21.78232127739531
2008-10-20,21.93250138274074
2008-10-21,22.21140393608118
2008-10-22,22.627612391006256
2008-10-23,22.586850513487974
2008-10-24,22.900079434624534
2008-10-27,23.1618198234386
2008-10-28,22.988040318955107
2008-10-29,22.522486303358136
2008-10-30,22.38947163248372
2008-10-31,22.74131965637207
2008-11-03,22.782082454403337
2008-11-04,22.479579513283532
2008-11-05,22.38303779506055
2008-11-06,22.672668084386906
2008-11-07,22.674813720141746
2008-11-10,22.65764955702343
2008-11-11,22.92582548750781
2008-11-12,23.101749892069535
2008-11-13,22.975170944613584
2008-11-14,22.91294992068383
2008-11-17,22.93011489984082
2008-11-18,22.979458897507694
2008-11-19,22.92582548750781
2008-11-20,23.142510635250346
2008-11-21,23.131781500854245
2008-11-24,22.666230235814822
2008-11-25,22.359436524543106
2008-11-26,22.526777845655925
2008-11-28,22.771355858988574
2008-12-01,22.88720694421456
2008-12-02,22.771355858988574
2008-12-03,22.87218870197185
2008-12-04,22.792808464863864
2008-12-05,22.889352831788354
2008-12-08,22.518196959656585
2008-12-09,22.56754012185047
2008-12-10,22.42165523599286
2008-12-11,21.567779359001506
2008-12-12,21.840248670573786
2008-12-15,21.557251037063512
2008-12-16,21.071292492068267
2008-12-17,20.809952232500706
2008-12-18,20.896345960980046
2008-12-19,21.373666763305664
2008-12-22,21.33478941404154
2008-12-23,21.343428870025964
2008-12-24,21.319672010123515
2008-12-26,21.246236007920636
2008-12-29,21.159844355092172
2008-12-30,21.207361703953012
2008-12-31,21.362867978521088
2009-01-02,21.453582610522567
2009-01-05,21.75379639996394
2009-01-06,21.84450911783191
2009-01-07,21.55077453071084
2009-01-08,21.377986520008463
2009-01-09,21.63716789284517
2009-01-12,21.786195050824062
2009-01-13,22.060492669300306
2009-01-14,22.14472547576598
2009-01-15,22.162005070757807
2009-01-16,21.926584710995883
2009-01-20,22.542134615135325
2009-01-21,22.45358217597093
2009-01-22,22.414705545474046
